iter	RMSE
0	72515.60031
1	69277.67125
2	66603.85097
3	63619.7419
4	61160.9785
5	58561.38022
6	56295.51969
7	54160.09118
8	52110.80952
9	50417.92412
10	48695.62311
11	47117.793
12	45717.89754
13	44375.72961
14	43003.65118
15	41878.26578
16	40706.05984
17	39701.35779
18	38641.12724
19	37771.23196
20	36958.68501
21	36105.32557
22	35303.73834
23	34582.48073
24	34067.13596
25	33475.98617
26	32806.5052
27	32188.6108
28	31652.5864
29	31211.45212
30	30692.95659
31	30223.44002
32	29779.4405
33	29454.54905
34	29030.47654
35	28567.11551
36	28222.79093
37	27920.39312
38	27512.38045
39	27228.66476
40	26985.55576
41	26593.87048
42	26296.28035
43	26046.31411
44	25837.92115
45	25628.20762
46	25370.13894
47	25146.293
48	24996.90197
49	24711.52714
50	24537.52335
51	24299.71507
52	24062.9286
53	23875.57681
54	23766.21112
55	23532.20249
56	23392.4866
57	23248.15448
58	23094.07399
59	22870.75389
60	22729.61588
61	22565.54242
62	22404.40527
63	22234.41756
64	22050.96349
65	21926.63437
66	21795.7137
67	21632.45426
68	21453.52846
69	21337.32069
70	21273.46431
71	21178.49934
72	21157.3235
73	21047.79276
74	20917.05174
75	20742.48246
76	20644.82097
77	20548.06899
78	20421.37575
79	20367.07498
80	20265.67326
81	20206.79013
82	20156.34828
83	20044.8311
84	19964.54233
85	19856.49367
86	19811.70309
87	19712.33829
88	19678.12635
89	19608.77343
90	19527.3952
91	19449.2681
92	19390.11357
93	19349.9306
94	19203.7574
95	19165.96625
96	19113.41125
97	19042.56174
98	18992.70976
99	18888.83665
100	18844.27696
101	18783.43183
102	18665.06449
103	18574.84965
104	18524.3965
105	18507.16553
106	18473.48292
107	18442.37338
108	18356.62985
109	18241.65538
110	18208.06916
111	18112.57611
112	18063.71035
113	17963.7459
114	17846.75346
115	17765.78287
116	17665.09279
117	17544.34681
118	17484.4077
119	17461.01879
120	17405.8539
121	17343.60017
122	17259.19521
123	17226.98337
124	17150.62315
125	17086.56822
126	17051.53544
127	16987.16091
128	16949.08355
129	16897.275
130	16868.31251
131	16749.24676
132	16666.17446
133	16592.96999
134	16525.48232
135	16480.85181
136	16407.28385
137	16360.87909
138	16291.31625
139	16225.80186
140	16203.17906
141	16167.77572
142	16142.69843
143	16055.56264
144	16017.96838
145	15989.69484
146	15947.3074
147	15911.88332
148	15848.40676
149	15795.71377
150	15762.35516
151	15690.78825
152	15651.38876
153	15638.04655
154	15621.53575
155	15594.23542
156	15538.68301
157	15502.28276
158	15454.46063
159	15431.98676
160	15374.96579
161	15364.28131
162	15306.86373
163	15255.72005
164	15200.12619
165	15160.6075
166	15096.56869
167	15008.68446
168	14971.25443
169	14924.74489
170	14828.93876
171	14805.80436
172	14785.93644
173	14733.22497
174	14660.68453
175	14620.233
176	14594.26873
177	14572.57105
178	14563.4152
179	14509.1635
180	14499.75639
181	14465.25274
182	14412.89398
183	14399.79202
184	14361.47149
185	14300.18971
186	14292.14121
187	14260.3094
188	14221.15632
189	14184.80788
190	14144.5613
191	14094.65475
192	14038.68633
193	13977.13823
194	13968.93659
195	13913.74802
196	13855.97784
197	13848.7201
198	13800.57371
199	13737.02464
200	13695.89904
201	13624.15046
202	13616.86308
203	13582.37311
204	13566.02169
205	13545.87956
206	13490.28219
207	13460.99038
208	13400.75223
209	13363.94121
210	13350.67939
211	13303.69669
212	13282.99394
