iter	Passed	Remaining
0	47	23453
1	114	28552
2	187	31109
3	279	34683
4	347	34369
5	426	35112
6	501	35304
7	577	35522
8	649	35428
9	725	35531
10	803	35730
11	886	36045
12	1364	51112
13	1491	51764
14	1584	51216
15	1656	50095
16	1732	49220
17	1808	48417
18	1875	47470
19	1953	46876
20	2030	46325
21	2102	45689
22	2168	44968
23	2233	44306
24	2311	43921
25	2400	43762
26	2564	44920
27	2648	44638
28	2724	44249
29	2797	43834
30	2867	43380
31	2956	43244
32	3064	43361
33	3137	43005
34	3209	42637
35	3282	42309
36	3358	42024
37	3427	41670
38	3493	41292
39	3563	40980
40	3705	41486
41	3792	41356
42	3896	41406
43	3980	41252
44	4058	41032
45	4138	40841
46	4220	40682
47	4294	40437
48	4369	40218
49	4440	39961
50	4524	39829
51	4592	39568
52	4666	39359
53	4796	39615
54	4915	39769
55	5026	39852
56	5119	39790
57	5187	39531
58	5260	39316
59	5325	39051
60	5398	38848
61	5478	38704
62	5564	38596
63	5648	38479
64	5718	38272
65	5789	38069
66	5922	38276
67	6003	38137
68	6025	37639
69	6097	37454
70	6179	37340
71	6256	37191
72	6327	37013
73	6406	36882
74	6487	36761
75	6561	36606
76	6637	36460
77	6708	36297
78	6781	36137
79	6850	35966
80	7020	36313
81	7101	36198
82	7193	36143
83	7281	36058
84	7357	35919
85	7442	35829
86	7522	35708
87	7597	35568
88	7673	35435
89	7752	35317
90	7828	35186
91	7896	35021
92	7972	34890
93	8110	35031
94	8192	34926
95	8267	34794
96	8342	34658
97	8429	34576
98	8506	34455
99	8580	34320
100	8676	34277
101	8750	34142
102	8802	33926
103	8876	33799
104	8952	33679
105	9028	33558
106	9095	33406
107	9216	33451
108	9312	33406
109	9423	33410
110	9498	33288
111	9569	33150
112	9641	33019
113	9717	32903
114	9786	32764
115	9847	32597
116	9950	32572
117	10020	32438
118	10101	32342
119	10182	32245
120	10316	32314
121	10395	32208
122	10468	32086
123	10532	31938
124	10618	31855
125	10685	31715
126	10752	31581
127	10830	31475
128	10896	31338
129	10982	31256
130	11058	31148
131	11155	31099
132	11245	31031
133	11317	30912
134	11793	31886
135	11878	31792
136	11958	31686
137	12035	31570
138	12109	31448
139	12184	31331
140	12259	31213
141	12339	31110
142	12417	31001
143	12494	30887
144	12572	30780
145	12656	30687
146	12746	30609
147	12904	30691
148	13013	30656
149	13108	30586
150	13181	30466
151	13273	30388
152	13366	30315
153	13446	30211
154	13516	30084
155	13587	29962
156	13660	29843
157	13745	29752
