iter	RMSE
0	77158.0491
1	73659.19521
2	70578.13984
3	67820.05431
4	65084.38556
5	62503.07894
6	59963.61034
7	57814.21088
8	55874.11647
9	54210.71665
10	52725.30594
11	51074.93441
12	49679.54387
13	48257.11117
14	46960.8127
15	45873.64024
16	44578.32705
17	43593.01039
18	42570.83561
19	41606.87166
20	40652.43806
21	39843.59855
22	39115.52659
23	38572.41223
24	37881.1713
25	37472.96414
26	36922.89136
27	36422.05332
28	35862.52323
29	35418.28924
30	34998.49781
31	34644.337
32	34288.50081
33	33887.76389
34	33604.37224
35	33332.20472
36	33057.67499
37	32805.45376
38	32590.1193
39	32350.98727
40	32178.88586
41	32045.59895
42	31800.47798
43	31576.04203
44	31366.50555
45	31152.23044
46	30935.91483
47	30795.42688
48	30649.26384
49	30518.99931
50	30236.68854
51	30131.2816
52	29993.73289
53	29858.97428
54	29698.46605
55	29606.99941
56	29466.31162
57	29298.01322
58	29159.11653
59	29046.84915
60	28922.37125
61	28866.72352
62	28704.31932
63	28627.9892
64	28515.2582
65	28414.61253
66	28334.49382
67	28294.67202
68	28201.96473
69	28124.253
70	28040.46346
71	28003.84646
72	27950.0027
73	27893.80393
74	27848.39218
75	27778.23373
76	27714.5578
77	27625.84205
78	27563.73505
79	27519.47349
80	27462.35393
81	27409.64729
82	27396.60054
83	27298.04876
84	27224.821
85	27165.48734
86	27105.94106
87	27075.15121
88	27025.10138
89	27011.61754
90	26922.20218
91	26864.6951
92	26796.06091
93	26759.16581
94	26696.37903
95	26618.39867
96	26567.34064
97	26538.62648
98	26526.85716
99	26498.36158
100	26441.67599
101	26387.89641
102	26355.64542
103	26302.46741
104	26259.93148
105	26218.34797
106	26176.25376
107	26099.2425
108	26079.2014
109	26032.67795
110	25995.96575
111	25960.50361
112	25917.50351
113	25870.0918
114	25800.77548
115	25757.17991
116	25719.37104
117	25669.31945
118	25636.78669
119	25616.20787
120	25597.79496
121	25542.30973
122	25499.81082
123	25463.88194
124	25382.5629
125	25369.56767
126	25323.07935
127	25264.74466
128	25227.05157
129	25175.21299
130	25143.40317
131	25066.80137
132	25031.66161
133	24981.39019
134	24942.83826
135	24864.31716
136	24832.02081
137	24810.32699
138	24759.10313
139	24723.90088
140	24702.37686
141	24659.00979
142	24623.79059
143	24566.2597
144	24536.80425
145	24485.90953
146	24440.96415
147	24421.86656
148	24371.35799
149	24352.29603
150	24318.10317
151	24296.68724
152	24234.53117
153	24188.11728
154	24158.29729
155	24138.87748
156	24083.79969
157	24055.44752
158	24012.96348
159	23955.81863
160	23929.34447
161	23895.69397
162	23837.01754
163	23812.67762
164	23810.13962
165	23769.40792
166	23747.77573
167	23715.59687
168	23675.62368
169	23631.69204
170	23608.42662
171	23573.27447
172	23546.51849
173	23489.94345
174	23460.75187
175	23426.89023
176	23361.30547
177	23339.58118
178	23275.52645
179	23230.50849
180	23210.09776
181	23172.94299
182	23153.70584
183	23145.57618
184	23107.71782
185	23050.63173
186	23025.83643
187	23006.17162
188	22976.08464
189	22931.93077
190	22886.90876
191	22859.50408
192	22841.15667
193	22800.23585
194	22766.24206
195	22730.03131
196	22691.5929
197	22664.68791
198	22644.65899
199	22613.75417
200	22569.96064
201	22529.89627
202	22506.38796
203	22478.08646
204	22454.97716
205	22406.32501
206	22392.71278
207	22377.2047
208	22375.98739
209	22359.77195
210	22330.54944
211	22300.93177
212	22279.35796
213	22273.4628
214	22250.72801
215	22237.37377
216	22217.13888
217	22216.03241
218	22200.99683
219	22146.65332
220	22108.19918
221	22092.40788
222	22060.35127
223	22017.94862
224	21987.78999
225	21960.84633
226	21945.94577
227	21915.09724
228	21878.28591
229	21868.05738
230	21867.02289
231	21864.29233
232	21807.17531
233	21781.00644
234	21752.76371
235	21704.89817
236	21658.8482
237	21632.43393
238	21631.60438
239	21617.02724
240	21590.61268
241	21573.73703
242	21540.38269
243	21502.08385
244	21472.16372
245	21444.4633
246	21414.75633
247	21405.49618
248	21393.96923
249	21377.07417
250	21360.64316
251	21312.77806
252	21291.24198
253	21289.70556
254	21284.6502
255	21267.25851
256	21221.18375
257	21218.80452
258	21206.07783
259	21201.48746
260	21175.87413
261	21146.84724
262	21123.85897
263	21119.52162
264	21093.18685
265	21067.72187
266	21050.03047
267	21013.1809
268	21006.44472
269	20995.63777
270	20975.6525
271	20921.5826
272	20894.89519
273	20872.20375
274	20863.30988
275	20847.30989
276	20812.63955
277	20798.71708
278	20784.6395
279	20769.31642
280	20741.1429
281	20726.4077
282	20720.4056
283	20705.75446
284	20683.81389
285	20674.43423
286	20634.11937
287	20626.74828
288	20608.95145
289	20606.0376
290	20605.23942
291	20587.27363
292	20565.39606
293	20560.79133
294	20543.39505
295	20538.95378
296	20524.92546
297	20508.47755
298	20480.79585
299	20452.51676
300	20430.47079
301	20400.29039
302	20376.13834
303	20360.55466
304	20319.36368
305	20297.47552
306	20280.03459
307	20275.62342
308	20245.25323
309	20211.3597
310	20196.67302
311	20170.23259
312	20161.71888
313	20145.93714
314	20127.49531
315	20092.25318
316	20077.44549
317	20076.18407
318	20070.20232
319	20064.19698
320	20045.41371
321	20027.46645
322	20014.25934
323	20013.52579
324	20006.83396
325	19993.29299
326	19974.36919
327	19962.35002
328	19955.81541
329	19932.35443
330	19914.81751
331	19880.89208
332	19855.58617
333	19837.05185
334	19821.63277
335	19802.43547
336	19784.00102
337	19766.08165
338	19757.54627
339	19741.02177
340	19724.92094
341	19721.5873
342	19693.64755
343	19690.32044
344	19687.44708
345	19670.14761
346	19655.97998
347	19646.34619
348	19618.57274
349	19600.48781
350	19587.83105
351	19571.31808
352	19570.251
353	19543.84908
354	19536.79382
355	19501.37048
356	19487.26633
357	19484.33516
358	19466.86156
359	19452.70093
360	19448.45187
361	19436.55114
362	19429.17955
363	19396.48641
364	19364.81929
365	19343.45697
366	19314.54091
367	19300.90597
368	19283.8083
369	19255.61771
370	19248.82162
371	19241.58159
372	19223.52882
373	19209.67644
374	19201.31107
375	19187.0204
376	19161.87171
377	19157.4078
378	19145.81008
379	19129.21753
380	19123.05048
381	19119.42963
382	19118.09628
383	19103.01755
384	19094.96384
385	19087.90602
386	19065.63149
387	19060.96067
388	19040.88304
389	19027.02012
390	19009.85093
391	18994.31214
392	18966.74067
393	18952.16307
394	18945.99802
395	18925.91261
396	18912.95913
397	18910.17007
398	18887.09073
399	18871.54319
400	18854.21307
401	18846.63422
402	18833.92396
403	18814.25826
404	18792.59494
405	18772.82901
406	18761.05418
407	18730.92979
408	18725.34011
409	18714.57851
410	18708.38324
411	18701.98629
412	18676.4911
413	18664.0832
414	18650.21946
415	18629.36915
416	18621.68511
417	18603.42233
418	18595.89091
419	18588.27774
420	18584.33161
421	18579.99516
422	18569.12942
423	18549.96893
424	18543.04038
425	18534.35085
426	18523.84894
427	18513.80505
428	18494.17558
429	18472.43099
430	18466.3325
431	18464.38785
432	18440.42853
433	18424.83182
434	18413.39536
435	18396.34566
436	18381.70462
437	18373.4137
438	18365.31952
439	18360.41795
440	18341.53013
441	18330.27366
442	18308.67107
443	18281.85615
444	18277.55601
445	18261.53696
446	18250.60756
447	18234.52806
448	18221.71832
449	18218.49695
450	18206.43426
451	18193.66212
452	18191.33658
453	18187.71702
454	18181.22773
455	18169.18926
456	18158.47254
457	18148.89551
458	18127.83813
459	18107.72574
460	18097.79389
461	18090.79453
462	18077.27397
463	18074.55202
464	18062.2553
465	18052.01643
466	18029.55471
467	18010.86685
468	17964.48218
469	17939.15122
470	17933.2182
471	17919.33893
472	17908.50726
473	17900.20936
474	17887.38835
475	17862.2643
476	17855.54865
477	17843.44011
478	17825.84344
479	17813.84578
480	17796.56219
481	17786.37751
482	17773.19266
483	17758.04858
484	17739.19126
485	17728.63075
486	17716.5142
487	17710.24212
488	17704.33568
489	17696.63153
490	17685.10451
491	17666.87738
492	17665.07826
493	17639.66992
494	17629.68317
495	17623.1833
496	17595.55856
497	17576.83505
498	17572.72366
499	17552.23164
