iter	Passed	Remaining
0	69	34498
1	141	35266
2	211	34961
3	292	36219
4	370	36700
5	536	44197
6	665	46864
7	759	46723
8	840	45855
9	923	45253
10	995	44267
11	1075	43722
12	1150	43100
13	1233	42824
14	1315	42538
15	1402	42432
16	1480	42065
17	1617	43321
18	1709	43273
19	1789	42952
20	1867	42596
21	1950	42369
22	2038	42273
23	2125	42164
24	2208	41958
25	2292	41794
26	2365	41439
27	2441	41162
28	2516	40873
29	2603	40786
30	2742	41496
31	2857	41796
32	2945	41685
33	3023	41435
34	3106	41274
35	3203	41290
36	3291	41186
37	3364	40909
38	3442	40687
39	3517	40456
40	3596	40260
41	3669	40014
42	3694	39269
43	3848	39887
44	3938	39822
45	4020	39676
46	4102	39537
47	4195	39510
48	4273	39338
49	4347	39124
50	4423	38940
51	4495	38730
52	4574	38581
53	4656	38463
54	4732	38291
55	4808	38121
56	5375	41778
57	5504	41946
58	5605	41898
59	5644	41390
60	5721	41174
61	5794	40938
62	5876	40763
63	5959	40600
64	5985	40057
65	6066	39889
66	6139	39678
67	6169	39197
68	6243	38996
69	6320	38822
70	6393	38631
71	6544	38905
72	6631	38789
73	6707	38615
74	6784	38447
75	6858	38262
76	6936	38105
77	7014	37952
78	7095	37813
79	7159	37586
80	7232	37413
81	7310	37264
82	7382	37092
83	7458	36936
84	7534	36786
85	7692	37030
86	7794	37000
87	7868	36837
88	7942	36676
89	8019	36534
90	8103	36421
91	8199	36362
92	8270	36194
93	8343	36034
94	8416	35879
95	8491	35735
96	8568	35597
97	8645	35466
98	8795	35624
99	8881	35525
100	8976	35461
101	9051	35319
102	9128	35184
103	9203	35043
104	9278	34905
105	9355	34772
106	9438	34666
107	9515	34538
108	9597	34428
109	9672	34292
110	9765	34224
111	9915	34350
112	10026	34339
113	10138	34327
114	10215	34199
115	10290	34066
116	10370	33947
117	10446	33819
118	10517	33673
119	10593	33545
120	10664	33403
121	10740	33279
122	10820	33165
123	10899	33049
124	11047	33141
125	11132	33044
126	11214	32937
127	11288	32808
128	11365	32687
129	11438	32556
130	11514	32435
131	11590	32312
132	11668	32199
133	11741	32069
134	11823	31967
135	11897	31842
136	11975	31730
137	12127	31811
138	12239	31788
139	12336	31723
140	12407	31590
141	12493	31498
142	12570	31381
143	12662	31303
144	12742	31196
145	12827	31102
146	12926	31041
147	12999	30918
148	13078	30808
149	13241	30897
150	13324	30796
151	13405	30691
152	13475	30562
153	13550	30443
154	13623	30324
155	13715	30243
156	13791	30130
157	13881	30048
158	13957	29932
159	14032	29818
160	14111	29713
161	14193	29613
162	14272	29508
163	14493	29693
164	14601	29645
165	14682	29541
166	14763	29437
167	14846	29339
168	14928	29239
169	15007	29131
170	15092	29038
171	15168	28925
172	15244	28814
173	15323	28708
174	15402	28604
175	16134	29702
176	16215	29591
177	16309	29503
178	16436	29475
179	16518	29366
180	16683	29404
181	16774	29309
182	16850	29189
183	16931	29077
184	17031	28998
185	17238	29102
186	17361	29059
187	17445	28951
188	17532	28849
189	17601	28719
190	17682	28606
191	17759	28489
192	17834	28368
193	17910	28250
194	18002	28157
195	18079	28041
196	18152	27919
197	18232	27809
198	18396	27825
199	18491	27736
200	18595	27661
201	18684	27564
202	18760	27448
203	18841	27338
204	18926	27235
205	19005	27123
206	19084	27012
207	19166	26906
208	19259	26816
209	19339	26707
210	19505	26715
211	19594	26618
212	19709	26557
213	19805	26469
214	19887	26362
215	19968	26254
216	20045	26142
217	20144	26058
218	20223	25949
219	20314	25854
220	20387	25738
221	20464	25626
222	20633	25629
223	20788	25614
224	21011	25680
225	21096	25577
226	21175	25466
227	21253	25355
228	21335	25249
229	21403	25126
230	21485	25019
231	21553	24898
232	21623	24778
233	21764	24740
234	21851	24640
235	21921	24522
236	21999	24413
237	22074	24300
238	22152	24191
239	22224	24076
240	22305	23971
241	22381	23860
242	22447	23741
243	22529	23637
244	22601	23524
245	22675	23412
246	22750	23302
247	22909	23278
248	23000	23185
249	23086	23086
250	23175	22990
251	23252	22883
252	23330	22777
253	23410	22672
254	23483	22562
255	23561	22456
256	23628	22340
257	23699	22230
258	23772	22120
259	23845	22011
260	23925	21908
261	24093	21886
262	24178	21788
263	24264	21690
264	24340	21584
265	24417	21480
266	24513	21391
267	24601	21297
268	24681	21195
269	24768	21098
270	24847	20996
271	24922	20891
272	25004	20791
273	25573	21093
274	25696	21024
275	25780	20923
276	25859	20818
277	25939	20713
278	26010	20603
279	26093	20502
280	26164	20391
281	26310	20339
282	26465	20293
283	26568	20207
284	26722	20159
285	26824	20071
286	26914	19974
287	26996	19872
288	27086	19776
289	27166	19672
290	27236	19561
291	27321	19462
292	27396	19355
293	27478	19253
294	27552	19146
295	27629	19042
296	27696	18930
297	27829	18864
298	27916	18766
299	28021	18681
300	28103	18580
301	28174	18472
302	28248	18366
303	28329	18264
304	28413	18165
305	28489	18062
306	28568	17960
307	28641	17854
308	28719	17752
309	28813	17659
310	28971	17606
311	29101	17535
312	29177	17432
313	29264	17335
314	29338	17230
315	29415	17128
316	29493	17026
317	29572	16924
318	29649	16823
319	29732	16724
320	29803	16619
321	29875	16515
322	30038	16460
323	30131	16367
324	30229	16277
325	30306	16176
326	30386	16076
327	30461	15973
328	30536	15871
329	30614	15770
330	30688	15668
331	30771	15571
332	30874	15483
333	30956	15385
334	31069	15302
335	31251	15253
336	31342	15159
337	31444	15070
338	31542	14980
339	31638	14888
